PLAYER_NAME,TEAM_ABBREVIATION,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,Season
AJ Hammons,DAL,7.4,0.8,1.9,0.405,0.2,0.5,0.5,0.4,0.9,0.45,0.4,1.3,1.6,0.2,0.5,0.0,0.6,0.2,1.0,0.6,2.2,-0.2,5.9,0,0,403,440,339,473,447,437,440,345,343,378,5,392,327,457,339,380,388,465,399,463,397,439,219,430,222,24,2016-17
Aaron Brooks,IND,13.7,1.9,4.6,0.403,0.7,2.0,0.375,0.5,0.6,0.8,0.3,0.8,1.1,1.9,1.0,0.4,0.1,0.2,1.4,0.8,5.0,-0.5,9.7,0,0,220,140,222,150,351,330,307,348,199,219,109,378,394,167,382,442,438,163,214,345,335,331,248,362,222,24,2016-17
Aaron Gordon,ORL,28.7,4.9,10.8,0.454,1.0,3.3,0.288,2.0,2.7,0.719,1.5,3.6,5.1,1.9,1.1,0.8,0.5,0.6,2.2,2.1,12.7,-2.0,24.5,7,0,38,215,18,378,106,88,89,199,158,128,314,107,99,309,87,114,107,168,190,136,116,101,361,113,80,24,2016-17
Aaron Harrison,CHA,3.3,0.0,0.8,0.0,0.0,0.4,0.0,0.2,0.4,0.5,0.0,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.4,0.2,0.2,-1.0,1.8,0,0,458,452,454,325,476,481,479,481,401,381,401,448,437,443,473,458,472,372,473,466,462,482,287,480,222,24,2016-17
Adreian Payne,MIN,7.5,1.3,3.0,0.426,0.2,0.8,0.2,0.8,1.1,0.737,0.5,1.3,1.8,0.4,0.4,0.4,0.4,0.1,1.8,0.7,3.5,0.6,8.3,0,0,419,434,386,441,445,387,395,288,359,341,375,294,292,281,273,371,371,433,402,310,368,379,154,387,222,24,2016-17
Al Horford,BOS,32.3,5.6,11.8,0.473,1.3,3.6,0.355,1.6,2.0,0.8,1.4,5.4,6.8,5.0,1.7,0.8,1.3,0.4,2.0,1.8,14.0,3.2,34.0,8,0,192,62,298,50,59,64,70,149,116,108,173,145,157,167,96,38,45,34,91,146,151,78,43,46,71,24,2016-17
Al Jefferson,IND,14.1,3.6,7.1,0.499,0.0,0.0,0.0,1.0,1.3,0.765,1.1,3.1,4.2,0.9,0.5,0.3,0.2,0.5,1.9,1.1,8.1,-1.5,15.5,1,0,212,177,173,214,347,166,185,109,401,447,401,245,244,239,127,151,148,327,383,378,268,202,327,242,168,24,2016-17
Al-Farouq Aminu,POR,29.1,3.0,7.6,0.393,1.1,3.5,0.33,1.6,2.2,0.706,1.3,6.1,7.4,1.6,1.5,1.0,0.7,0.4,1.7,1.9,8.7,0.4,23.6,4,0,253,177,238,161,97,203,172,379,132,118,247,148,136,328,108,24,36,192,110,95,143,186,168,119,108,24,2016-17
Alan Anderson,LAC,10.3,1.0,2.7,0.375,0.5,1.5,0.318,0.4,0.5,0.75,0.1,0.7,0.8,0.4,0.2,0.1,0.0,0.0,1.2,0.6,2.9,-2.6,4.4,0,0,383,307,409,56,403,416,412,407,277,275,272,399,407,260,455,446,455,437,453,455,389,407,398,453,222,24,2016-17
Alan Williams,PHX,15.1,2.9,5.7,0.517,0.0,0.0,0.0,1.5,2.4,0.625,2.0,4.2,6.2,0.5,0.8,0.6,0.7,0.4,2.7,2.1,7.4,0.0,18.5,15,0,319,392,136,459,329,215,247,79,401,437,401,157,124,393,40,83,65,411,290,235,115,221,188,189,36,24,2016-17
