PlayerFirstName,PlayerLastName,TeamShortName,GP,Poss,Time,PPP,PPG,FGM,FGA,FG,aFG,FT,TO,SF,FGmG,Score
Travis,Wear,LALakers,7,1,3.125,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.14285714285714,0.0
Brandon,Jennings,Milwaukee,2,1,6.25,3.0,1.5,1,1,100.0,150.0,0.0,0.0,0.0,0.0,100.0
Damion,Lee,Atlanta,1,1,9.0909099578857,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Rodney,Purvis,Orlando,4,2,11.764699935913,0.0,0.0,0,1,0.0,0.0,0.0,50.0,0.0,0.25,0.0
Rodney,McGruder,Miami,8,1,2.3809499740601,3.0,0.375,1,1,100.0,150.0,0.0,0.0,0.0,0.0,100.0
Glenn,Robinson III,Indiana,9,1,3.0302999019623,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.11111111111111,0.0
Jaylen,Morris,Atlanta,6,1,2.7026998996735,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.16666666666667,0.0
Jarrett,Allen,Brooklyn,58,1,0.22935800254345,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.017241379310345,0.0
Davon,Reed,Phoenix,10,2,5.2631602287292,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.2,0.0
Xavier,Rathan-Mayes,Memphis,5,2,3.5087699890137,1.0,0.4,1,2,50.0,50.0,0.0,0.0,0.0,0.2,50.0
Shaquille,Harrison,Phoenix,10,3,5.8823499679565,1.3333300352097,0.4,2,2,100.0,100.0,0.0,33.333333333333,0.0,0.0,66.666666666667
Cedi,Osman,Cleveland,54,11,5.8510599136353,0.81818199157715,0.16666666666667,4,10,40.0,40.0,9.0909090909091,0.0,9.0909090909091,0.11111111111111,45.454545454545
Ivan,Rabb,Memphis,27,1,0.8403360247612,2.0,0.074074074074074,1,1,100.0,100.0,0.0,0.0,0.0,0.0,100.0
Richaun,Holmes,Philadelphia,34,2,1.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.058823529411765,0.0
Troy,Williams,NewYork,9,1,1.4705899953842,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.11111111111111,0.0
Andrew,White,Atlanta,6,1,2.9411799907684,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.16666666666667,0.0
Cameron,Payne,Chicago,10,4,4.5977001190186,1.25,0.5,2,4,50.0,62.5,0.0,0.0,0.0,0.2,50.0
Jodie,Meeks,Washington,66,1,0.2415460050106,3.0,0.045454545454545,1,1,100.0,150.0,0.0,0.0,0.0,0.0,100.0
Kobi,Simmons,Memphis,20,8,5.594409942627,0.25,0.1,1,5,20.0,20.0,0.0,37.5,0.0,0.2,12.5
DeAndre,Liggins,NewOrleans,9,1,5.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.11111111111111,0.0
Joe,Young,Indiana,49,17,8.4577102661133,0.52941197156906,0.18367346938776,4,14,28.571428571429,28.571428571429,5.8823529411765,17.647058823529,5.8823529411765,0.20408163265306,23.529411764706
Monte,Morris,Denver,2,2,25.0,2.0,2.0,1,1,100.0,100.0,50.0,0.0,50.0,0.0,100.0
Doug,McDermott,Dallas,13,2,1.8181799650192,1.0,0.15384615384615,1,2,50.0,50.0,0.0,0.0,0.0,0.076923076923077,50.0
Kyle,Collinsworth,Dallas,23,4,5.6338000297546,1.0,0.17391304347826,2,4,50.0,50.0,0.0,0.0,0.0,0.08695652173913,50.0
Josh,Gray,Phoenix,5,6,11.320799827576,0.33333298563957,0.4,1,5,20.0,20.0,0.0,16.666666666667,0.0,0.8,16.666666666667
Jabari,Parker,Milwaukee,17,13,6.9518699645996,0.76923102140427,0.58823529411765,5,13,38.461538461538,38.461538461538,0.0,0.0,0.0,0.47058823529412,38.461538461538
Tyler,Dorsey,Atlanta,42,20,7.3800702095032,0.85000002384186,0.4047619047619,6,19,31.578947368421,39.473684210526,5.0,0.0,5.0,0.30952380952381,35.0
Miles,Plumlee,Atlanta,46,5,2.1551699638367,1.0,0.10869565217391,2,3,66.666666666667,66.666666666667,20.0,20.0,20.0,0.021739130434783,60.0
Trey,Burke,NewYork,22,24,11.059900283813,0.91666698455811,1.0,10,23,43.478260869565,43.478260869565,4.1666666666667,0.0,4.1666666666667,0.59090909090909,45.833333333333
Tyler,Zeller,Brooklyn,42,1,0.34722200036049,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.023809523809524,0.0
Tristan,Thompson,Cleveland,42,2,0.7874019742012,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.047619047619048,0.0
Myke,Henry,Memphis,15,2,2.0833299160004,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.13333333333333,0.0
Sterling,Brown,Milwaukee,42,6,2.8846199512482,1.0,0.14285714285714,2,4,50.0,50.0,16.666666666667,16.666666666667,16.666666666667,0.047619047619048,50.0
Alex,Caruso,LALakers,28,5,5.2083301544189,0.60000002384186,0.10714285714286,1,3,33.333333333333,50.0,0.0,40.0,0.0,0.071428571428571,20.0
Zach,Lavine,Chicago,23,48,11.401399612427,0.95833301544189,2.0,15,38,39.473684210526,44.736842105263,14.583333333333,8.3333333333333,14.583333333333,1.0,43.75
Tyson,Chandler,Phoenix,46,1,0.34722200036049,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.021739130434783,0.0
Tarik,Black,Houston,42,1,0.63291102647781,1.0,0.023809523809524,0,0,0.0,0.0,100.0,0.0,100.0,0.0,100.0
Torrey,Craig,Denver,26,3,2.5641000270844,0.33333298563957,0.038461538461538,0,2,0.0,0.0,33.333333333333,0.0,33.333333333333,0.076923076923077,33.333333333333
Terrance,Ferguson,OklahomaCity,52,2,1.2903200387955,0.0,0.0,0,1,0.0,0.0,0.0,50.0,0.0,0.019230769230769,0.0
Milton,Doyle,Brooklyn,6,2,6.8965501785278,1.0,0.33333333333333,1,2,50.0,50.0,0.0,0.0,0.0,0.16666666666667,50.0
